DNMT,Genome,variable,value
-1,Wuchereria_bancrofti,activeSingleton,0
-1,Acanthocheilonema_viteae,activeSingleton,0
1,Acyrthosiphon_pisum,activeSingleton,2
1,Amphimedon_queenslandica,activeSingleton,2
-1,Ancylostoma_caninum,activeSingleton,1
-1,Ancylostoma_ceylanicum,activeSingleton,0
-1,Anopheles_darlingi,activeSingleton,0
-1,Anopheles_gambiae,activeSingleton,5
1,Apis_mellifera,activeSingleton,0
1,Atta_cephalotes,activeSingleton,0
1,Belgica_antarctica,activeSingleton,2
1,Bombus_impatiens,activeSingleton,3
1,Bombyx_mori,activeSingleton,1
-1,Brugia_malayi,activeSingleton,0
-1,Bursaphelenchus_xylophilus,activeSingleton,0
-1,Caenorhabditis_afra,activeSingleton,0
-1,Caenorhabditis_angaria,activeSingleton,0
-1,Caenorhabditis_brenneri,activeSingleton,0
-1,Caenorhabditis_briggsae,activeSingleton,0
-1,Caenorhabditis_castelli,activeSingleton,0
-1,Caenorhabditis_doughertyi,activeSingleton,1
-1,Caenorhabditis_elegans,activeSingleton,0
-1,Caenorhabditis_japonica,activeSingleton,4
-1,Caenorhabditis_kamaaina,activeSingleton,0
-1,Caenorhabditis_latens,activeSingleton,0
-1,Caenorhabditis_monodelphis,activeSingleton,2
-1,Caenorhabditis_nouraguensis,activeSingleton,0
-1,Caenorhabditis_plicata,activeSingleton,8
-1,Caenorhabditis_remanei,activeSingleton,0
-1,Caenorhabditis_sinica,activeSingleton,0
-1,Caenorhabditis_sp21,activeSingleton,1
-1,Caenorhabditis_sp26,activeSingleton,0
-1,Caenorhabditis_sp28,activeSingleton,0
-1,Caenorhabditis_sp29,activeSingleton,0
-1,Caenorhabditis_sp31,activeSingleton,0
-1,Caenorhabditis_sp32,activeSingleton,0
-1,Caenorhabditis_sp34,activeSingleton,3
-1,Caenorhabditis_sp38,activeSingleton,0
-1,Caenorhabditis_sp39,activeSingleton,0
-1,Caenorhabditis_sp40,activeSingleton,0
-1,Caenorhabditis_tropicalis,activeSingleton,0
-1,Caenorhabditis_virilis,activeSingleton,0
1,Capitella_teleta,activeSingleton,22
-1,Clonorchis_sinensis,activeSingleton,0
1,Crassostrea_gigas,activeSingleton,1
-1,Culex_quinquefasciatus,activeSingleton,3
1,Danaus_plexippus,activeSingleton,0
1,Daphnia_pulex,activeSingleton,19
-1,Dendroctonus_ponderosae,activeSingleton,1
-1,Dictyocaulus_viviparus,activeSingleton,0
-1,Diploscapter_coronatus,activeSingleton,1
-1,Dirofilaria_immitis,activeSingleton,0
-1,Ditylenchus_destructor,activeSingleton,1
-1,Dracunculus_medinensis,activeSingleton,1
