clustername,EpiVal,EpiVar,Color,variable,value,variable_fac
0_meth,present,DNMT,DNMTpresent,Singletons,4,Singletons
0_nometh,absent,DNMT,DNMTabsent,Singletons,43.3846153846154,Singletons
1_meth,present,DNMT,DNMTpresent,Singletons,254.882352941176,Singletons
1_nometh,absent,DNMT,DNMTabsent,Singletons,360.8,Singletons
10_meth,present,DNMT,DNMTpresent,Singletons,438.5,Singletons
10_nometh,absent,DNMT,DNMTabsent,Singletons,139.5,Singletons
2_nometh,absent,DNMT,DNMTabsent,Singletons,62.875,Singletons
3_meth,present,DNMT,DNMTpresent,Singletons,36,Singletons
3_nometh,absent,DNMT,DNMTabsent,Singletons,160.833333333333,Singletons
4_meth,present,DNMT,DNMTpresent,Singletons,35.8,Singletons
5_meth,present,DNMT,DNMTpresent,Singletons,395.5,Singletons
6_nometh,absent,DNMT,DNMTabsent,Singletons,49.15625,Singletons
7_meth,present,DNMT,DNMTpresent,Singletons,391,Singletons
7_nometh,absent,DNMT,DNMTabsent,Singletons,6.5,Singletons
8_nometh,absent,DNMT,DNMTabsent,Singletons,85.2307692307692,Singletons
9_meth,present,DNMT,DNMTpresent,Singletons,216,Singletons
9_nometh,absent,DNMT,DNMTabsent,Singletons,167.375,Singletons
0_-1,absent,PIWI,PIWIabsent,Singletons,40.5714285714286,Singletons
1_-1,absent,PIWI,PIWIabsent,Singletons,183,Singletons
1_1,present,PIWI,PIWIpresent,Singletons,294.105263157895,Singletons
10_-1,absent,PIWI,PIWIabsent,Singletons,46,Singletons
10_1,present,PIWI,PIWIpresent,Singletons,419.818181818182,Singletons
2_-1,absent,PIWI,PIWIabsent,Singletons,62.875,Singletons
3_1,present,PIWI,PIWIpresent,Singletons,143,Singletons
4_-1,absent,PIWI,PIWIabsent,Singletons,35.8,Singletons
5_-1,absent,PIWI,PIWIabsent,Singletons,691,Singletons
5_1,present,PIWI,PIWIpresent,Singletons,100,Singletons
6_-1,absent,PIWI,PIWIabsent,Singletons,36.4285714285714,Singletons
6_1,present,PIWI,PIWIpresent,Singletons,52.72,Singletons
7_1,present,PIWI,PIWIpresent,Singletons,134.666666666667,Singletons
8_1,present,PIWI,PIWIpresent,Singletons,85.2307692307692,Singletons
9_-1,absent,PIWI,PIWIabsent,Singletons,121.333333333333,Singletons
9_1,present,PIWI,PIWIpresent,Singletons,275.666666666667,Singletons
