#Genome,TE,Weight_count,Weight_length
Acanthocheilonema_viteae,Academ,5,857
Acanthocheilonema_viteae,Academ-1,41,9124
Acanthocheilonema_viteae,B4,1,303
Acanthocheilonema_viteae,Bhikhari,7,869
Acanthocheilonema_viteae,CMC-Chapaev,4,504
Acanthocheilonema_viteae,CMC-EnSpm,162,36728
Acanthocheilonema_viteae,CMC-Transib,38,11885
Acanthocheilonema_viteae,CR1,128,35807
Acanthocheilonema_viteae,CR1-Zenon,9,1996
Acanthocheilonema_viteae,CRE,10,1730
Acanthocheilonema_viteae,CRE-Ambal,1,175
Acanthocheilonema_viteae,CRE-II,6,986
Acanthocheilonema_viteae,Caulimovirus,18,3970
Acanthocheilonema_viteae,Copia,488,116285
Acanthocheilonema_viteae,Crypton,2,299
Acanthocheilonema_viteae,Crypton-A,2,243
Acanthocheilonema_viteae,Crypton-H,1,129
Acanthocheilonema_viteae,Crypton-I,1,149
Acanthocheilonema_viteae,Crypton-S,4,632
Acanthocheilonema_viteae,Crypton-V,71,21988
Acanthocheilonema_viteae,DIRS,6,866
Acanthocheilonema_viteae,DNA,129,28654
Acanthocheilonema_viteae,Dada,1,109
Acanthocheilonema_viteae,Dong-R4,2,238
Acanthocheilonema_viteae,ERV1,66,11464
Acanthocheilonema_viteae,ERVK,23,6760
Acanthocheilonema_viteae,ERVL,1,100
Acanthocheilonema_viteae,Ginger,69,15383
Acanthocheilonema_viteae,Gypsy,894,185151
Acanthocheilonema_viteae,Helitron,343,81814
Acanthocheilonema_viteae,I,18,2686
Acanthocheilonema_viteae,I-Jockey,37,5558
Acanthocheilonema_viteae,Jockey,11,1967
Acanthocheilonema_viteae,Kolobok-E,4,528
Acanthocheilonema_viteae,Kolobok-H,1,105
Acanthocheilonema_viteae,Kolobok-Hydra,3,354
Acanthocheilonema_viteae,Kolobok-T2,12,2615
Acanthocheilonema_viteae,L1,107,17083
Acanthocheilonema_viteae,L1-DRE,3,310
Acanthocheilonema_viteae,L1-Tx1,61,13763
Acanthocheilonema_viteae,L2,125,26373
Acanthocheilonema_viteae,LINE,3,414
Acanthocheilonema_viteae,LTR,8,1060
Acanthocheilonema_viteae,MULE,6,820
Acanthocheilonema_viteae,MULE-MuDR,92,16771
Acanthocheilonema_viteae,MULE-NOF,1,174
Acanthocheilonema_viteae,Maverick,102,20341
Acanthocheilonema_viteae,Merlin,6,806
Acanthocheilonema_viteae,MuLE-MuDR,2,243
Acanthocheilonema_viteae,Ngaro,1,190
Acanthocheilonema_viteae,P,23,3420
Acanthocheilonema_viteae,PIF-HarbS,6,1012
Acanthocheilonema_viteae,PIF-Harbinger,50,14737
Acanthocheilonema_viteae,PIF-ISL2EU,31,8012
Acanthocheilonema_viteae,PIF-Spy,3,1152
Acanthocheilonema_viteae,Pao,1023,417404
Acanthocheilonema_viteae,Penelope,44,7176
Acanthocheilonema_viteae,PiggyBac,15,2769
Acanthocheilonema_viteae,Proto2,1,114
Acanthocheilonema_viteae,R1,19,3353
Acanthocheilonema_viteae,R2,3,521
Acanthocheilonema_viteae,R2-Hero,9,1628
Acanthocheilonema_viteae,R2-NeSL,5,556
Acanthocheilonema_viteae,RTE-BovB,60,12646
Acanthocheilonema_viteae,RTE-ORTE,9,1494
Acanthocheilonema_viteae,RTE-RTE,9,1274
Acanthocheilonema_viteae,RTE-X,29,5390
Acanthocheilonema_viteae,Retroposon,1,102
Acanthocheilonema_viteae,Rex-Babar,1,143
Acanthocheilonema_viteae,Sola-2,53,10400
Acanthocheilonema_viteae,Sola-3,1,101
Acanthocheilonema_viteae,Tad1,4,615
Acanthocheilonema_viteae,TcMar,7,1635
Acanthocheilonema_viteae,TcMar-Fot1,5,615
Acanthocheilonema_viteae,TcMar-ISRm11,10,2128
Acanthocheilonema_viteae,TcMar-Mariner,182,49952
Acanthocheilonema_viteae,TcMar-Tc1,132,22488
Acanthocheilonema_viteae,TcMar-Tc2,28,4832
Acanthocheilonema_viteae,TcMar-Tc4,2,215
Acanthocheilonema_viteae,TcMar-Tigger,58,20419
Acanthocheilonema_viteae,TcMar-m44,1,113
Acanthocheilonema_viteae,Zator,2,220
Acanthocheilonema_viteae,Zisupton,15,2531
Acanthocheilonema_viteae,hAT,25,5442
Acanthocheilonema_viteae,hAT-Ac,154,29271
Acanthocheilonema_viteae,hAT-Blackjack,5,699
Acanthocheilonema_viteae,hAT-Charlie,15,2271
Acanthocheilonema_viteae,hAT-Tag1,5,802
Acanthocheilonema_viteae,hAT-Tip100,17,2458
Acanthocheilonema_viteae,hAT-hAT19,6,823
Acanthocheilonema_viteae,hAT-hATm,28,5422
Acanthocheilonema_viteae,hAT-hATx,20,4712
Acanthocheilonema_viteae,hAT-hobo,2,301
Acyrthosiphon_pisum,5S-Deu,2,257
Acyrthosiphon_pisum,Academ,211,116185
Acyrthosiphon_pisum,Academ-1,124,24955
Acyrthosiphon_pisum,Bhikhari,4,597
Acyrthosiphon_pisum,CMC-Chapaev,1055,307709
Acyrthosiphon_pisum,CMC-Chapaev-3,17,8169
Acyrthosiphon_pisum,CMC-EnSpm,7340,1989424
Acyrthosiphon_pisum,CMC-Transib,1190,296719
Acyrthosiphon_pisum,CR1,3028,1201580
Acyrthosiphon_pisum,CR1-Zenon,9,1989
Acyrthosiphon_pisum,CRE,9,1152
Acyrthosiphon_pisum,CRE-Ambal,1,107
Acyrthosiphon_pisum,CRE-II,10,1316
Acyrthosiphon_pisum,Caulimovirus,844,229046
Acyrthosiphon_pisum,Copia,6161,1891746
Acyrthosiphon_pisum,Crypton,65,21640
Acyrthosiphon_pisum,Crypton-A,1,132
Acyrthosiphon_pisum,Crypton-H,10,1441
Acyrthosiphon_pisum,Crypton-S,97,14677
Acyrthosiphon_pisum,Crypton-V,108,29420
Acyrthosiphon_pisum,DIRS,10,1861
Acyrthosiphon_pisum,DNA,43525,9936522
Acyrthosiphon_pisum,Dada,322,133625
Acyrthosiphon_pisum,Dong-R4,61,63158
Acyrthosiphon_pisum,ERV1,790,202726
Acyrthosiphon_pisum,ERV4,3,501
Acyrthosiphon_pisum,ERVK,417,143597
Acyrthosiphon_pisum,ERVL,1,107
Acyrthosiphon_pisum,Ginger,3091,898190
Acyrthosiphon_pisum,Gypsy,13724,4584350
Acyrthosiphon_pisum,Gypsy-Cigr,22,5534
Acyrthosiphon_pisum,Helitron,14412,3866365
Acyrthosiphon_pisum,I,3107,1199370
Acyrthosiphon_pisum,I-Jockey,896,311437
Acyrthosiphon_pisum,I-Nimb,107,21304
Acyrthosiphon_pisum,IS3EU,208,58859
Acyrthosiphon_pisum,Jockey,6090,2550987
Acyrthosiphon_pisum,Kolobok-E,10470,2803735
Acyrthosiphon_pisum,Kolobok-H,1,115
Acyrthosiphon_pisum,Kolobok-Hydra,232,37051
Acyrthosiphon_pisum,Kolobok-T2,660,121699
Acyrthosiphon_pisum,L1,4958,1289962
Acyrthosiphon_pisum,L1-DRE,2,386
Acyrthosiphon_pisum,L1-Tx1,1231,348492
Acyrthosiphon_pisum,L1-Zorro,1,108
Acyrthosiphon_pisum,L2,5801,2013861
Acyrthosiphon_pisum,LINE,19,2576
Acyrthosiphon_pisum,LOA,3,436
Acyrthosiphon_pisum,LTR,165,82917
Acyrthosiphon_pisum,MULE,2,226
Acyrthosiphon_pisum,MULE-MuDR,4519,1297558
Acyrthosiphon_pisum,MULE-NOF,499,98488
Acyrthosiphon_pisum,Maverick,7642,3198467
Acyrthosiphon_pisum,Merlin,585,180024
Acyrthosiphon_pisum,MuLE-MuDR,3122,966006
Acyrthosiphon_pisum,MuLE-NOF,185,81555
Acyrthosiphon_pisum,Ngaro,22,15249
Acyrthosiphon_pisum,P,1451,511802
Acyrthosiphon_pisum,P-Fungi,957,133300
Acyrthosiphon_pisum,PIF-HarbS,2,388
Acyrthosiphon_pisum,PIF-Harbinger,2872,776733
Acyrthosiphon_pisum,PIF-ISL2EU,233,73649
Acyrthosiphon_pisum,PIF-Spy,238,62334
Acyrthosiphon_pisum,Pao,3702,1449035
Acyrthosiphon_pisum,Penelope,859,201863
Acyrthosiphon_pisum,PiggyBac,1050,318654
Acyrthosiphon_pisum,PiggyBac-X,1,154
Acyrthosiphon_pisum,Proto2,79,31800
Acyrthosiphon_pisum,R1,1729,907405
Acyrthosiphon_pisum,R1-LOA,226,48962
Acyrthosiphon_pisum,R2,7,1324
Acyrthosiphon_pisum,R2-Hero,9,1174
Acyrthosiphon_pisum,R2-NeSL,19,3986
Acyrthosiphon_pisum,RTE,3,1031
Acyrthosiphon_pisum,RTE-BovB,2135,903689
Acyrthosiphon_pisum,RTE-RTE,12,1777
Acyrthosiphon_pisum,RTE-X,33,6931
Acyrthosiphon_pisum,Retroposon,81579,32728985
Acyrthosiphon_pisum,Rex-Babar,5,527
Acyrthosiphon_pisum,Sola,254,115947
Acyrthosiphon_pisum,Sola-1,1156,262467
Acyrthosiphon_pisum,Sola-2,7203,2532912
Acyrthosiphon_pisum,Sola-3,1,106
Acyrthosiphon_pisum,Tad1,263,56197
Acyrthosiphon_pisum,TcMar,3,356
Acyrthosiphon_pisum,TcMar-Ant1,3,312
Acyrthosiphon_pisum,TcMar-Fot1,365,113579
Acyrthosiphon_pisum,TcMar-ISRm11,83,14142
Acyrthosiphon_pisum,TcMar-Mariner,189,65216
Acyrthosiphon_pisum,TcMar-Pogo,874,196894
Acyrthosiphon_pisum,TcMar-Stowaway,365,139536
Acyrthosiphon_pisum,TcMar-Tc1,2738,703897
Acyrthosiphon_pisum,TcMar-Tc2,51,9784
Acyrthosiphon_pisum,TcMar-Tc4,5,607
Acyrthosiphon_pisum,TcMar-Tigger,331,74271
Acyrthosiphon_pisum,TcMar-m44,1414,243507
Acyrthosiphon_pisum,Zator,133,52466
Acyrthosiphon_pisum,Zisupton,317,95845
Acyrthosiphon_pisum,hAT,8493,2175581
Acyrthosiphon_pisum,hAT-Ac,5719,1471031
Acyrthosiphon_pisum,hAT-Blackjack,568,122946
Acyrthosiphon_pisum,hAT-Charlie,5561,1438830
Acyrthosiphon_pisum,hAT-Pegasus,9,1034
Acyrthosiphon_pisum,hAT-Tag1,1346,306938
Acyrthosiphon_pisum,hAT-Tip100,31087,7809472
Acyrthosiphon_pisum,hAT-Tol2,342,90909
Acyrthosiphon_pisum,hAT-hAT19,3936,802637
Acyrthosiphon_pisum,hAT-hAT5,8,2474
Acyrthosiphon_pisum,hAT-hAT6,6,666
Acyrthosiphon_pisum,hAT-hATm,1159,354185
Acyrthosiphon_pisum,hAT-hATw,5,686
Acyrthosiphon_pisum,hAT-hATx,1322,363288
Acyrthosiphon_pisum,hAT-hobo,1018,294982
Amphimedon_queenslandica,Academ,219,99433
Amphimedon_queenslandica,Academ-1,113,94225
Amphimedon_queenslandica,Academ-2,69,30261
Amphimedon_queenslandica,Bhikhari,54,15753
Amphimedon_queenslandica,CMC-Chapaev,554,151955
Amphimedon_queenslandica,CMC-Chapaev-3,99,68577
Amphimedon_queenslandica,CMC-EnSpm,2514,1079357
Amphimedon_queenslandica,CMC-Transib,262,128567
Amphimedon_queenslandica,CR1,1706,933404
Amphimedon_queenslandica,CR1-Zenon,52,20311
Amphimedon_queenslandica,CRE,5,882
Amphimedon_queenslandica,CRE-II,917,448695
Amphimedon_queenslandica,Caulimovirus,291,139667
Amphimedon_queenslandica,Copia,7279,3175647
Amphimedon_queenslandica,Crypton,431,118869
Amphimedon_queenslandica,Crypton-A,654,174421
Amphimedon_queenslandica,Crypton-C,23,3460
Amphimedon_queenslandica,Crypton-F,48,24345
Amphimedon_queenslandica,Crypton-H,60,20663
Amphimedon_queenslandica,Crypton-R,118,96493
Amphimedon_queenslandica,Crypton-S,4,938
Amphimedon_queenslandica,Crypton-V,547,411698
Amphimedon_queenslandica,DIRS,712,347241
Amphimedon_queenslandica,DNA,2864,954725
Amphimedon_queenslandica,Dada,304,103041
Amphimedon_queenslandica,Deceiver,24,4240
Amphimedon_queenslandica,Dong-R4,192,63237
Amphimedon_queenslandica,ERV1,721,327188
Amphimedon_queenslandica,ERV4,1,158
Amphimedon_queenslandica,ERVK,361,165545
Amphimedon_queenslandica,ERVL,218,123613
Amphimedon_queenslandica,ERVL-MaLR,113,30847
Amphimedon_queenslandica,Ginger,231,74109
Amphimedon_queenslandica,Gypsy,16071,6811932
Amphimedon_queenslandica,Gypsy-Cigr,190,101086
Amphimedon_queenslandica,Helitron,4655,3610857
Amphimedon_queenslandica,I,623,207863
Amphimedon_queenslandica,I-Jockey,279,83822
Amphimedon_queenslandica,Jockey,9,1793
Amphimedon_queenslandica,Kolobok-E,67,16378
Amphimedon_queenslandica,Kolobok-H,1,118
Amphimedon_queenslandica,Kolobok-Hydra,398,129859
Amphimedon_queenslandica,Kolobok-T2,797,332402
Amphimedon_queenslandica,L1,3364,1645512
Amphimedon_queenslandica,L1-DRE,743,451309
Amphimedon_queenslandica,L1-Tx1,1303,827143
Amphimedon_queenslandica,L2,3629,1226549
Amphimedon_queenslandica,LINE,55,43468
Amphimedon_queenslandica,LOA,2,212
Amphimedon_queenslandica,LTR,66,31504
Amphimedon_queenslandica,MULE,29,5963
Amphimedon_queenslandica,MULE-F,39,16064
Amphimedon_queenslandica,MULE-MuDR,3993,1538303
Amphimedon_queenslandica,MULE-NOF,765,270827
Amphimedon_queenslandica,Maverick,3292,1177355
Amphimedon_queenslandica,Merlin,766,172424
Amphimedon_queenslandica,MuLE-F,74,65157
Amphimedon_queenslandica,MuLE-MuDR,121,75371
Amphimedon_queenslandica,MuLE-NOF,1942,473306
Amphimedon_queenslandica,Ngaro,652,405054
Amphimedon_queenslandica,P,432,246817
Amphimedon_queenslandica,P-Fungi,145,64430
Amphimedon_queenslandica,PIF-HarbS,45,37978
Amphimedon_queenslandica,PIF-Harbinger,1673,764686
Amphimedon_queenslandica,PIF-ISL2EU,6740,2804271
Amphimedon_queenslandica,PIF-Spy,1,107
Amphimedon_queenslandica,Pao,1751,853387
Amphimedon_queenslandica,Penelope,697,221363
Amphimedon_queenslandica,PiggyBac,9084,2677308
Amphimedon_queenslandica,PiggyBac-A,1,119
Amphimedon_queenslandica,PiggyBac-X,107,26068
Amphimedon_queenslandica,Proto2,163,56732
Amphimedon_queenslandica,R1,460,112810
Amphimedon_queenslandica,R1-LOA,24,7844
Amphimedon_queenslandica,R2,2,479
Amphimedon_queenslandica,R2-Hero,37,15680
Amphimedon_queenslandica,R2-NeSL,113,106757
Amphimedon_queenslandica,RTE-BovB,132,49006
Amphimedon_queenslandica,RTE-RTE,9,1466
Amphimedon_queenslandica,RTE-X,618,291962
Amphimedon_queenslandica,Rex-Babar,35,19509
Amphimedon_queenslandica,Sola,385,391839
Amphimedon_queenslandica,Sola-1,137,29147
Amphimedon_queenslandica,Sola-2,607,255341
Amphimedon_queenslandica,Sola-3,193,70733
Amphimedon_queenslandica,Tad1,310,99719
Amphimedon_queenslandica,TcMar,217,50706
Amphimedon_queenslandica,TcMar-Ant1,38,36143
Amphimedon_queenslandica,TcMar-Fot1,259,116820
Amphimedon_queenslandica,TcMar-ISRm11,281,116555
Amphimedon_queenslandica,TcMar-Mariner,104,31170
Amphimedon_queenslandica,TcMar-Pogo,113,31629
Amphimedon_queenslandica,TcMar-Tc1,727,244661
Amphimedon_queenslandica,TcMar-Tc2,1841,460441
Amphimedon_queenslandica,TcMar-Tc4,31,21420
Amphimedon_queenslandica,TcMar-Tigger,217,80520
Amphimedon_queenslandica,TcMar-m44,88,41413
Amphimedon_queenslandica,Zator,127,60714
Amphimedon_queenslandica,Zisupton,350,179911
Amphimedon_queenslandica,hAT,455,277840
Amphimedon_queenslandica,hAT-Ac,2609,1407646
Amphimedon_queenslandica,hAT-Blackjack,330,132389
Amphimedon_queenslandica,hAT-Charlie,1244,415847
Amphimedon_queenslandica,hAT-Tag1,769,314657
Amphimedon_queenslandica,hAT-Tip100,1560,549174
Amphimedon_queenslandica,hAT-Tol2,2,324
Amphimedon_queenslandica,hAT-hAT1,17,4296
Amphimedon_queenslandica,hAT-hAT19,181,57979
Amphimedon_queenslandica,hAT-hATm,628,250989
Amphimedon_queenslandica,hAT-hATw,32,11403
Amphimedon_queenslandica,hAT-hATx,18,7777
Amphimedon_queenslandica,hAT-hobo,2,284
Ancylostoma_caninum,Academ,6,914
Ancylostoma_caninum,Academ-1,2251,1168645
Ancylostoma_caninum,Academ-2,50,10182
Ancylostoma_caninum,B4,10,2534
Ancylostoma_caninum,Bhikhari,10,1293
Ancylostoma_caninum,CMC-Chapaev,43,6724
Ancylostoma_caninum,CMC-Chapaev-3,253,47636
Ancylostoma_caninum,CMC-EnSpm,5053,1405574
Ancylostoma_caninum,CMC-Transib,1094,332079
Ancylostoma_caninum,CR1,15778,5991323
Ancylostoma_caninum,CR1-Zenon,1249,394665
Ancylostoma_caninum,CRE,64,12194
Ancylostoma_caninum,CRE-Ambal,8,1528
Ancylostoma_caninum,CRE-II,4,598
Ancylostoma_caninum,Caulimovirus,1427,645385
Ancylostoma_caninum,Copia,13908,4098173
Ancylostoma_caninum,Crypton,4,549
Ancylostoma_caninum,Crypton-A,80,20776
Ancylostoma_caninum,Crypton-C,4,485
Ancylostoma_caninum,Crypton-F,136,33043
Ancylostoma_caninum,Crypton-H,82,18012
Ancylostoma_caninum,Crypton-S,11,1951
Ancylostoma_caninum,Crypton-V,12,2132
Ancylostoma_caninum,DIRS,1781,818844
Ancylostoma_caninum,DNA,2912,1001992
Ancylostoma_caninum,Dada,888,275122
Ancylostoma_caninum,Deceiver,85,20336
Ancylostoma_caninum,Dong-R4,27,12655
Ancylostoma_caninum,ERV1,2500,550144
Ancylostoma_caninum,ERV4,760,154021
Ancylostoma_caninum,ERVK,692,233873
Ancylostoma_caninum,ERVL,124,26846
Ancylostoma_caninum,ERVL-MaLR,198,69843
Ancylostoma_caninum,Ginger,8,3168
Ancylostoma_caninum,Gypsy,27076,10256934
Ancylostoma_caninum,Gypsy-Cigr,59,24277
Ancylostoma_caninum,Helitron,6421,2032230
Ancylostoma_caninum,I,927,204761
Ancylostoma_caninum,I-Jockey,298,73172
Ancylostoma_caninum,Jockey,15,2997
Ancylostoma_caninum,Kolobok,1,152
Ancylostoma_caninum,Kolobok-E,7,1225
Ancylostoma_caninum,Kolobok-H,18,2190
Ancylostoma_caninum,Kolobok-Hydra,189,26146
Ancylostoma_caninum,Kolobok-T2,298,107283
Ancylostoma_caninum,L1,4162,1472147
Ancylostoma_caninum,L1-Tx1,4571,1106432
Ancylostoma_caninum,L2,1223,302064
Ancylostoma_caninum,LINE,30,5639
Ancylostoma_caninum,LTR,235,80627
Ancylostoma_caninum,MIR,1380,570590
Ancylostoma_caninum,MULE,41,12508
Ancylostoma_caninum,MULE-MuDR,2151,573118
Ancylostoma_caninum,MULE-NOF,639,179262
Ancylostoma_caninum,Maverick,918,240283
Ancylostoma_caninum,Merlin,62,25741
Ancylostoma_caninum,MuLE-MuDR,307,124911
Ancylostoma_caninum,Ngaro,32,16590
Ancylostoma_caninum,Novosib,22,4259
Ancylostoma_caninum,P,1449,376592
Ancylostoma_caninum,PIF-HarbS,122,24783
Ancylostoma_caninum,PIF-Harbinger,4571,1101768
Ancylostoma_caninum,PIF-ISL2EU,21,3668
Ancylostoma_caninum,PIF-Spy,42,7786
Ancylostoma_caninum,Pao,7156,3561896
Ancylostoma_caninum,Penelope,13297,5246344
Ancylostoma_caninum,PiggyBac,1851,542763
Ancylostoma_caninum,PiggyBac-A,11,1861
Ancylostoma_caninum,Proto1,1,130
Ancylostoma_caninum,Proto2,690,437970
Ancylostoma_caninum,R1,433,82480
Ancylostoma_caninum,R1-LOA,1,323
Ancylostoma_caninum,R2,1,104
Ancylostoma_caninum,R2-Hero,63,10747
Ancylostoma_caninum,R2-NeSL,67,26613
Ancylostoma_caninum,RTE-BovB,5425,2878159
Ancylostoma_caninum,RTE-ORTE,182,33238
Ancylostoma_caninum,RTE-RTE,7440,3664355
Ancylostoma_caninum,RTE-X,359,97275
Ancylostoma_caninum,Rex-Babar,199,62699
Ancylostoma_caninum,Sola,1,103
Ancylostoma_caninum,Sola-1,293,71024
Ancylostoma_caninum,Sola-2,1446,591423
Ancylostoma_caninum,Sola-3,661,165614
Ancylostoma_caninum,Tad1,430,81391
Ancylostoma_caninum,TcMar,106,35400
Ancylostoma_caninum,TcMar-Fot1,1273,420576
Ancylostoma_caninum,TcMar-ISRm11,41,8445
Ancylostoma_caninum,TcMar-Mariner,35750,15337849
Ancylostoma_caninum,TcMar-Mogwai,1,141
Ancylostoma_caninum,TcMar-Pogo,922,177617
Ancylostoma_caninum,TcMar-Stowaway,409,68515
Ancylostoma_caninum,TcMar-Tc1,16603,6303956
Ancylostoma_caninum,TcMar-Tc2,885,349054
Ancylostoma_caninum,TcMar-Tc4,682,170525
Ancylostoma_caninum,TcMar-Tigger,4,514
Ancylostoma_caninum,TcMar-m44,77,27625
Ancylostoma_caninum,Zator,867,431287
Ancylostoma_caninum,Zisupton,2162,961839
Ancylostoma_caninum,hAT,1924,510359
Ancylostoma_caninum,hAT-Ac,3124,666916
Ancylostoma_caninum,hAT-Blackjack,551,143517
Ancylostoma_caninum,hAT-Charlie,1606,740704
Ancylostoma_caninum,hAT-Pegasus,4,689
Ancylostoma_caninum,hAT-Tag1,230,56705
Ancylostoma_caninum,hAT-Tip100,872,257286
Ancylostoma_caninum,hAT-hAT19,290,121207
Ancylostoma_caninum,hAT-hAT5,3,373
Ancylostoma_caninum,hAT-hATm,819,193857
Ancylostoma_caninum,hAT-hATw,274,67623
Ancylostoma_caninum,hAT-hATx,2,236
Ancylostoma_caninum,hAT-hobo,1706,595604
Ancylostoma_ceylanicum,Academ,4,497
Ancylostoma_ceylanicum,Academ-1,616,232012
Ancylostoma_ceylanicum,Academ-2,34,6471
Ancylostoma_ceylanicum,B4,10,2774
Ancylostoma_ceylanicum,Bhikhari,5,651
Ancylostoma_ceylanicum,CMC-Chapaev,39,6809
Ancylostoma_ceylanicum,CMC-Chapaev-3,31,6054
Ancylostoma_ceylanicum,CMC-EnSpm,5409,1833786
Ancylostoma_ceylanicum,CMC-Transib,1253,559852
Ancylostoma_ceylanicum,CR1,12631,5328221
Ancylostoma_ceylanicum,CR1-Zenon,1173,480716
Ancylostoma_ceylanicum,CRE,97,20524
Ancylostoma_ceylanicum,CRE-Ambal,10,1412
Ancylostoma_ceylanicum,CRE-II,1,106
Ancylostoma_ceylanicum,Caulimovirus,1519,756226
Ancylostoma_ceylanicum,Copia,9689,3231809
Ancylostoma_ceylanicum,Crypton,2,300
Ancylostoma_ceylanicum,Crypton-A,46,9729
Ancylostoma_ceylanicum,Crypton-C,3,358
Ancylostoma_ceylanicum,Crypton-F,71,17377
Ancylostoma_ceylanicum,Crypton-H,184,84922
Ancylostoma_ceylanicum,Crypton-I,1,131
Ancylostoma_ceylanicum,Crypton-S,6,1208
Ancylostoma_ceylanicum,Crypton-V,13,2318
Ancylostoma_ceylanicum,DIRS,736,287595
Ancylostoma_ceylanicum,DNA,3440,1834635
Ancylostoma_ceylanicum,Dada,452,100341
Ancylostoma_ceylanicum,Deceiver,37,7782
Ancylostoma_ceylanicum,Dong-R4,10,4022
Ancylostoma_ceylanicum,ERV-Foamy,3,330
Ancylostoma_ceylanicum,ERV1,2654,797349
Ancylostoma_ceylanicum,ERV4,354,88581
Ancylostoma_ceylanicum,ERVK,892,370072
Ancylostoma_ceylanicum,ERVL,29,5372
Ancylostoma_ceylanicum,ERVL-MaLR,360,145585
Ancylostoma_ceylanicum,Ginger,9,4899
Ancylostoma_ceylanicum,Gypsy,24820,9645100
Ancylostoma_ceylanicum,Gypsy-Cigr,67,42673
Ancylostoma_ceylanicum,Gypsy-Troyka,1,107
Ancylostoma_ceylanicum,Helitron,6076,2178840
Ancylostoma_ceylanicum,I,506,124506
Ancylostoma_ceylanicum,I-Jockey,817,246599
Ancylostoma_ceylanicum,ID,1,103
Ancylostoma_ceylanicum,Jockey,23,5213
Ancylostoma_ceylanicum,Kolobok-E,5,735
Ancylostoma_ceylanicum,Kolobok-H,8,950
Ancylostoma_ceylanicum,Kolobok-Hydra,113,15221
Ancylostoma_ceylanicum,Kolobok-T2,181,79792
Ancylostoma_ceylanicum,L1,2548,1034509
Ancylostoma_ceylanicum,L1-DRE,2,240
Ancylostoma_ceylanicum,L1-Tx1,6063,1518864
Ancylostoma_ceylanicum,L2,1621,447451
Ancylostoma_ceylanicum,LINE,18,3887
Ancylostoma_ceylanicum,LTR,128,63004
Ancylostoma_ceylanicum,MIR,141,34761
Ancylostoma_ceylanicum,MULE,47,17327
Ancylostoma_ceylanicum,MULE-MuDR,1708,504627
Ancylostoma_ceylanicum,MULE-NOF,595,315711
Ancylostoma_ceylanicum,Maverick,1336,516045
Ancylostoma_ceylanicum,Merlin,69,23655
Ancylostoma_ceylanicum,MuLE-MuDR,187,90298
Ancylostoma_ceylanicum,Ngaro,32,11653
Ancylostoma_ceylanicum,Novosib,168,68284
Ancylostoma_ceylanicum,P,615,137260
Ancylostoma_ceylanicum,PIF-HarbS,93,20180
Ancylostoma_ceylanicum,PIF-Harbinger,3242,730834
Ancylostoma_ceylanicum,PIF-ISL2EU,25,4586
Ancylostoma_ceylanicum,PIF-Spy,19,5187
Ancylostoma_ceylanicum,Pao,4908,2359139
Ancylostoma_ceylanicum,Penelope,11327,5092198
Ancylostoma_ceylanicum,PiggyBac,1480,519076
Ancylostoma_ceylanicum,PiggyBac-A,6,898
Ancylostoma_ceylanicum,PiggyBac-X,1,107
Ancylostoma_ceylanicum,Proto2,77,28823
Ancylostoma_ceylanicum,R1,352,96340
Ancylostoma_ceylanicum,R1-LOA,2,384
Ancylostoma_ceylanicum,R2,1,301
Ancylostoma_ceylanicum,R2-Hero,50,8166
Ancylostoma_ceylanicum,R2-NeSL,38,11855
Ancylostoma_ceylanicum,RTE-BovB,4601,2469060
Ancylostoma_ceylanicum,RTE-ORTE,188,32855
