ID,repname_RM,repname_blast,ident,eval,alignmentlength,bitscore,score,rm_repname,mc,x,y,repname_RM4,fc
HAL1_chr1:120123338-120124096,HAL1,no match,no match,no match,no match,no match,no match,HAL1,113,596.3105,2220.0005,HAL1,1
HAL1_chr1:121369818-121370439,HAL1,no match,no match,no match,no match,no match,no match,HAL1,143,555.2362,1640.325,HAL1,1
HAL1_chr1:144050269-144050890,HAL1,no match,no match,no match,no match,no match,no match,HAL1,143,563.90515,1728.0211,HAL1,1
HAL1_chr1:144291619-144292144,HAL1,no match,no match,no match,no match,no match,no match,HAL1,164,-1251.801,2047.096,HAL1,1
HAL1_chr1:144674228-144674757,HAL1,no match,no match,no match,no match,no match,no match,HAL1,164,-1251.801,2047.0962,HAL1,1
HAL1_chr1:144909600-144910221,HAL1,no match,no match,no match,no match,no match,no match,HAL1,143,566.44495,1726.4707,HAL1,1
HAL1_chr1:146284315-146285073,HAL1,no match,no match,no match,no match,no match,no match,HAL1,113,596.31036,2220.001,HAL1,1
HAL1_chr1:148735098-148735856,HAL1,no match,no match,no match,no match,no match,no match,HAL1,113,596.31036,2220.001,HAL1,1
HAL1_chr1:206388545-206389165,HAL1,no match,no match,no match,no match,no match,no match,HAL1,143,569.51715,1729.3787,HAL1,1
HAL1_chr2:106463496-106464063,HAL1,no match,no match,no match,no match,no match,no match,HAL1,359,279.68338,-2648.4224,HAL1,1
HAL1_chr2:107831870-107832437,HAL1,no match,no match,no match,no match,no match,no match,HAL1,359,279.68335,-2648.4224,HAL1,1
HAL1b_chr1:121269579-121270542,HAL1b,no match,no match,no match,no match,no match,no match,HAL1b,138,-2132.1875,-1560.6298,HAL1,2
HAL1b_chr1:145009750-145010714,HAL1b,no match,no match,no match,no match,no match,no match,HAL1b,138,-2015.1665,-1696.4039,HAL1,2
HAL1b_chr1:206288056-206289020,HAL1b,no match,no match,no match,no match,no match,no match,HAL1b,138,-2003.109,-1619.1425,HAL1,2
HERVL18-int_chr1:105137819-105138492,HERVL18-int,no match,no match,no match,no match,no match,no match,HERVL18-int,210,2897.2024,-195.25522,HERV,5
HERVL18-int_chr1:117815665-117821685,HERVL18-int,no match,no match,no match,no match,no match,no match,HERVL18-int,210,2738.838,-182.56628,HERV,5
HERVL18-int_chr1:147718307-147718840,HERVL18-int,no match,no match,no match,no match,no match,no match,HERVL18-int,210,2697.4282,-188.26392,HERV,5
HERVL18-int_chr1:168264566-168270596,HERVL18-int,no match,no match,no match,no match,no match,no match,HERVL18-int,210,2696.8198,-239.44131,HERV,5
HERVL18-int_chr1:184289030-184289607,HERVL18-int,no match,no match,no match,no match,no match,no match,HERVL18-int,210,2798.036,-365.91568,HERV,5
HERVL18-int_chr1:196536242-196536813,HERVL18-int,no match,no match,no match,no match,no match,no match,HERVL18-int,210,2672.3767,-185.86809,HERV,5
HERVL18-int_chr1:207421645-207422459,HERVL18-int,no match,no match,no match,no match,no match,no match,HERVL18-int,210,2690.7546,-180.67934,HERV,5
HERVL18-int_chr1:207422458-207424199,HERVL18-int,no match,no match,no match,no match,no match,no match,HERVL18-int,210,2771.6475,-37.42722,HERV,5
HERVL18-int_chr1:207424471-207425092,HERVL18-int,no match,no match,no match,no match,no match,no match,HERVL18-int,210,2835.8792,-108.46325,HERV,5
HERVL18-int_chr1:64186957-64192253,HERVL18-int,no match,no match,no match,no match,no match,no match,HERVL18-int,210,2760.6313,-117.51318,HERV,5
HERVL18-int_chr1:66382236-66382918,HERVL18-int,no match,no match,no match,no match,no match,no match,HERVL18-int,210,2678.69,-171.11595,HERV,5
HERVL18-int_chr1:70628380-70629427,HERVL18-int,no match,no match,no match,no match,no match,no match,HERVL18-int,210,2590.7832,-340.03787,HERV,5
HERVL18-int_chr1:70629702-70630569,HERVL18-int,no match,no match,no match,no match,no match,no match,HERVL18-int,210,2880.7883,-296.8831,HERV,5
