V1,V2,V3
Caenorhabditis_brenneri5219,Caenorhabditis_brenneri11578,239
Caenorhabditis_brenneri5219,Caenorhabditis_brenneri11579,553
Caenorhabditis_brenneri5219,Caenorhabditis_brenneri4503,531
Caenorhabditis_brenneri5219,Caenorhabditis_brenneri5225,63.9000015259
Caenorhabditis_brenneri5218,Caenorhabditis_brenneri5223,398
Caenorhabditis_brenneri5218,Caenorhabditis_brenneri11579,291
Caenorhabditis_brenneri5218,Caenorhabditis_brenneri4503,494
Caenorhabditis_brenneri8191,Caenorhabditis_brenneri4667,124
Caenorhabditis_brenneri8191,Caenorhabditis_brenneri5885,202
Caenorhabditis_brenneri9909,Caenorhabditis_brenneri4667,1162
Caenorhabditis_brenneri9909,Caenorhabditis_brenneri5222,176
Caenorhabditis_brenneri9909,Caenorhabditis_brenneri5670,455
Caenorhabditis_brenneri9909,Caenorhabditis_brenneri5885,272
Caenorhabditis_brenneri9909,Caenorhabditis_brenneri12230,230
Caenorhabditis_brenneri9909,Caenorhabditis_brenneri525,171
Caenorhabditis_brenneri9909,Caenorhabditis_brenneri2902,135
Caenorhabditis_brenneri9909,Caenorhabditis_brenneri12233,610
Caenorhabditis_brenneri9909,Caenorhabditis_brenneri12234,91.5999984741
Caenorhabditis_brenneri9909,Caenorhabditis_brenneri12225,224
Caenorhabditis_brenneri9909,Caenorhabditis_brenneri12224,344
Caenorhabditis_brenneri9909,Caenorhabditis_brenneri7526,3049
Caenorhabditis_brenneri9909,Caenorhabditis_brenneri12934,1742
Caenorhabditis_brenneri9909,Caenorhabditis_brenneri4502,830
Caenorhabditis_brenneri9909,Caenorhabditis_brenneri4503,176
Caenorhabditis_brenneri9909,Caenorhabditis_brenneri12931,719
Caenorhabditis_brenneri9909,Caenorhabditis_brenneri5221,359
Caenorhabditis_brenneri9909,Caenorhabditis_brenneri11578,486
Caenorhabditis_brenneri9909,Caenorhabditis_brenneri11579,1101
Caenorhabditis_brenneri9909,Caenorhabditis_brenneri12774,161
Caenorhabditis_brenneri9909,Caenorhabditis_brenneri5225,793
Caenorhabditis_brenneri4502,Caenorhabditis_brenneri5670,599
Caenorhabditis_brenneri4502,Caenorhabditis_brenneri12223,265
Caenorhabditis_brenneri4502,Caenorhabditis_brenneri7526,1037
Caenorhabditis_brenneri4502,Caenorhabditis_brenneri5228,278
Caenorhabditis_brenneri4502,Caenorhabditis_brenneri12934,630
Caenorhabditis_brenneri4502,Caenorhabditis_brenneri12931,638
Caenorhabditis_brenneri4503,Caenorhabditis_brenneri4667,821
Caenorhabditis_brenneri4503,Caenorhabditis_brenneri11578,1101
Caenorhabditis_brenneri4503,Caenorhabditis_brenneri12230,797
Caenorhabditis_brenneri4503,Caenorhabditis_brenneri12222,195
Caenorhabditis_brenneri4503,Caenorhabditis_brenneri12224,499
Caenorhabditis_brenneri4503,Caenorhabditis_brenneri5220,555
Caenorhabditis_brenneri4503,Caenorhabditis_brenneri12934,521
Caenorhabditis_brenneri4503,Caenorhabditis_elegans10538,122
Caenorhabditis_brenneri4503,Caenorhabditis_brenneri5222,276
Caenorhabditis_brenneri4503,Caenorhabditis_brenneri11579,1561
Caenorhabditis_brenneri4503,Caenorhabditis_brenneri5225,1206
Caenorhabditis_brenneri4503,Caenorhabditis_brenneri12234,58.4000015259
Caenorhabditis_elegans10538,Caenorhabditis_brenneri5225,128
Caenorhabditis_brenneri5885,Caenorhabditis_brenneri2902,147
Caenorhabditis_brenneri5885,Caenorhabditis_brenneri7526,267
Caenorhabditis_brenneri5885,Caenorhabditis_brenneri12934,150
Caenorhabditis_brenneri5885,Caenorhabditis_brenneri11579,195
Caenorhabditis_brenneri4671,Caenorhabditis_brenneri12934,86.0999984741
Caenorhabditis_brenneri4672,Caenorhabditis_brenneri12931,124
Caenorhabditis_brenneri4673,Caenorhabditis_brenneri12934,355
Caenorhabditis_brenneri4673,Caenorhabditis_brenneri7526,372
Caenorhabditis_brenneri5669,Caenorhabditis_brenneri5229,158
Caenorhabditis_brenneri2902,Caenorhabditis_brenneri7526,130
Caenorhabditis_brenneri525,Caenorhabditis_brenneri12772,209
Caenorhabditis_brenneri525,Caenorhabditis_brenneri12934,159
Caenorhabditis_brenneri525,Caenorhabditis_brenneri7526,165
Caenorhabditis_brenneri7528,Caenorhabditis_brenneri4667,141
Caenorhabditis_brenneri7528,Caenorhabditis_brenneri5220,141
Caenorhabditis_brenneri7528,Caenorhabditis_brenneri11581,246
Caenorhabditis_brenneri7528,Caenorhabditis_brenneri12933,263
Caenorhabditis_brenneri7528,Caenorhabditis_brenneri12235,52.7999992371
Caenorhabditis_brenneri7526,Caenorhabditis_brenneri5221,381
Caenorhabditis_brenneri7526,Caenorhabditis_brenneri12774,161
Caenorhabditis_brenneri7526,Caenorhabditis_brenneri5670,739
Caenorhabditis_brenneri7526,Caenorhabditis_brenneri12223,490
Caenorhabditis_brenneri7526,Caenorhabditis_brenneri12225,219
Caenorhabditis_brenneri7526,Caenorhabditis_brenneri5225,809
Caenorhabditis_brenneri7526,Caenorhabditis_brenneri11578,488
Caenorhabditis_brenneri7526,Caenorhabditis_brenneri11579,974
Caenorhabditis_brenneri7526,Caenorhabditis_brenneri5230,339
Caenorhabditis_brenneri7526,Caenorhabditis_brenneri4667,1026
Caenorhabditis_brenneri7526,Caenorhabditis_brenneri12230,224
Caenorhabditis_brenneri7526,Caenorhabditis_brenneri12233,616
Caenorhabditis_brenneri7526,Caenorhabditis_brenneri12234,91.5999984741
Caenorhabditis_brenneri7526,Caenorhabditis_brenneri12934,1753
Caenorhabditis_brenneri7526,Caenorhabditis_brenneri12931,928
Caenorhabditis_brenneri7526,Caenorhabditis_brenneri9910,760
Caenorhabditis_brenneri7526,Caenorhabditis_brenneri9911,102
Caenorhabditis_brenneri5228,Caenorhabditis_brenneri5670,337
Caenorhabditis_brenneri5228,Caenorhabditis_brenneri12931,287
Caenorhabditis_brenneri5228,Caenorhabditis_brenneri12934,294
Caenorhabditis_brenneri5229,Caenorhabditis_brenneri12934,86.0999984741
Caenorhabditis_brenneri5229,Caenorhabditis_brenneri12224,189
Caenorhabditis_brenneri5220,Caenorhabditis_brenneri4667,883
Caenorhabditis_brenneri5220,Caenorhabditis_brenneri11578,641
Caenorhabditis_brenneri5220,Caenorhabditis_brenneri11579,512
Caenorhabditis_brenneri5220,Caenorhabditis_brenneri5225,887
Caenorhabditis_brenneri5221,Caenorhabditis_brenneri4667,484
Caenorhabditis_brenneri5221,Caenorhabditis_brenneri11578,185
Caenorhabditis_brenneri5221,Caenorhabditis_brenneri11579,431
Caenorhabditis_brenneri5221,Caenorhabditis_brenneri5225,562
Caenorhabditis_brenneri5222,Caenorhabditis_brenneri4667,355
Caenorhabditis_brenneri5222,Caenorhabditis_brenneri12230,396
Caenorhabditis_brenneri5222,Caenorhabditis_brenneri12234,69.4000015259
Caenorhabditis_brenneri5222,Caenorhabditis_brenneri12224,390
Caenorhabditis_brenneri5222,Caenorhabditis_brenneri12934,412
Caenorhabditis_brenneri5222,Caenorhabditis_brenneri11579,261
Caenorhabditis_brenneri5222,Caenorhabditis_brenneri5226,115
Caenorhabditis_brenneri5225,Caenorhabditis_brenneri4667,2126
Caenorhabditis_brenneri5225,Caenorhabditis_brenneri12230,276
Caenorhabditis_brenneri5225,Caenorhabditis_brenneri12234,111
Caenorhabditis_brenneri5225,Caenorhabditis_brenneri12225,265
Caenorhabditis_brenneri5225,Caenorhabditis_brenneri12934,621
Caenorhabditis_brenneri5225,Caenorhabditis_brenneri11578,1506
Caenorhabditis_brenneri5225,Caenorhabditis_brenneri11579,1061
Caenorhabditis_brenneri5226,Caenorhabditis_brenneri4667,99
Caenorhabditis_brenneri5226,Caenorhabditis_brenneri12230,87.9000015259
Caenorhabditis_brenneri5226,Caenorhabditis_brenneri12934,82.4000015259
Caenorhabditis_brenneri5226,Caenorhabditis_brenneri12224,93.5
Caenorhabditis_brenneri5227,Caenorhabditis_brenneri4667,161
Caenorhabditis_brenneri5227,Caenorhabditis_brenneri12230,158
Caenorhabditis_brenneri5227,Caenorhabditis_brenneri12222,165
Caenorhabditis_brenneri11581,Caenorhabditis_brenneri12933,230
Caenorhabditis_brenneri4667,Caenorhabditis_brenneri12932,193
Caenorhabditis_brenneri4667,Caenorhabditis_brenneri11578,1432
Caenorhabditis_brenneri4667,Caenorhabditis_brenneri12234,117
Caenorhabditis_brenneri4667,Caenorhabditis_brenneri12224,789
Caenorhabditis_brenneri4667,Caenorhabditis_brenneri12225,281
Caenorhabditis_brenneri4667,Caenorhabditis_brenneri12230,942
Caenorhabditis_brenneri4667,Caenorhabditis_brenneri12934,701
Caenorhabditis_brenneri4667,Caenorhabditis_brenneri11579,1866
Caenorhabditis_brenneri4669,Caenorhabditis_brenneri12934,121
Caenorhabditis_brenneri4669,Caenorhabditis_brenneri12228,121
Caenorhabditis_brenneri5671,Caenorhabditis_brenneri12934,65.8000030518
Caenorhabditis_brenneri5670,Caenorhabditis_brenneri12223,331
Caenorhabditis_brenneri5670,Caenorhabditis_brenneri12934,915
Caenorhabditis_brenneri5670,Caenorhabditis_brenneri12931,750
Caenorhabditis_brenneri5670,Caenorhabditis_brenneri9910,167
Caenorhabditis_brenneri12228,Caenorhabditis_brenneri12233,989
Caenorhabditis_brenneri12228,Caenorhabditis_brenneri12934,977
Caenorhabditis_brenneri12223,Caenorhabditis_brenneri12934,479
Caenorhabditis_brenneri12223,Caenorhabditis_brenneri12931,464
Caenorhabditis_brenneri12223,Caenorhabditis_brenneri9910,287
Caenorhabditis_brenneri12222,Caenorhabditis_brenneri12230,235
Caenorhabditis_brenneri12226,Caenorhabditis_brenneri12231,134
Caenorhabditis_brenneri12226,Caenorhabditis_brenneri12235,106
Caenorhabditis_brenneri12225,Caenorhabditis_brenneri12230,553
Caenorhabditis_brenneri12225,Caenorhabditis_brenneri12234,147
Caenorhabditis_brenneri12225,Caenorhabditis_brenneri12934,318
Caenorhabditis_brenneri12225,Caenorhabditis_brenneri11578,294
Caenorhabditis_brenneri12225,Caenorhabditis_brenneri11579,311
Caenorhabditis_brenneri12224,Caenorhabditis_brenneri12230,739
Caenorhabditis_brenneri12224,Caenorhabditis_brenneri12934,736
Caenorhabditis_brenneri12224,Caenorhabditis_brenneri11579,706
Caenorhabditis_brenneri11578,Caenorhabditis_brenneri12230,305
Caenorhabditis_brenneri11578,Caenorhabditis_brenneri12234,145
Caenorhabditis_brenneri11578,Caenorhabditis_brenneri12934,455
Caenorhabditis_brenneri11578,Caenorhabditis_brenneri11579,1607
Caenorhabditis_brenneri11579,Caenorhabditis_brenneri5230,300
Caenorhabditis_brenneri11579,Caenorhabditis_brenneri12230,569
Caenorhabditis_brenneri11579,Caenorhabditis_brenneri12234,156
Caenorhabditis_brenneri11579,Caenorhabditis_brenneri12934,739
Caenorhabditis_brenneri12934,Caenorhabditis_brenneri5230,350
Caenorhabditis_brenneri12934,Caenorhabditis_brenneri12230,773
Caenorhabditis_brenneri12934,Caenorhabditis_brenneri12233,953
Caenorhabditis_brenneri12934,Caenorhabditis_brenneri12234,189
Caenorhabditis_brenneri12934,Caenorhabditis_brenneri12932,139
Caenorhabditis_brenneri12934,Caenorhabditis_brenneri12931,1568
Caenorhabditis_brenneri12934,Caenorhabditis_brenneri9910,274
Caenorhabditis_brenneri12933,Caenorhabditis_brenneri12235,99
Caenorhabditis_brenneri12931,Caenorhabditis_brenneri9910,254
Caenorhabditis_brenneri12230,Caenorhabditis_brenneri12234,152
Caenorhabditis_brenneri12231,Caenorhabditis_brenneri12235,106
