genome,total_count,total_length,Species,DNMT1,DNMT2,DNMT3,PIWI,DNMT,filename,length,masked,gc,seqs,Phylo
Acanthocheilonema_viteae,5254,1338727,Acanthocheilonema viteae,-1,1,-1,-1,-1,acanthocheilonema_viteae.PRJEB4306.WBPS6.genomic.fa,77350906,4592927,29.92,6796,Nematodes Clade III
Acyrthosiphon_pisum,320719,100734868,Acyrthosiphon pisum,1,1,1,1,1,Acyrthosiphon_pisum.GCA_000142985.2.dna.toplevel.fa,541675471,168550186,29.76,23924,Arthropods
Amphimedon_queenslandica,101826,43261462,Amphimedon queenslandica,1,1,1,1,1,Amphimedon_queenslandica.Aqu1.dna.toplevel.fa,166679601,64830374,35.82,13397,Other
Ancylostoma_caninum,219993,81528305,Ancylostoma caninum,-1,1,-1,1,-1,ancylostoma_caninum.PRJNA72585.WBPS6.genomic.fa,465750606,171053500,42.78,25339,Nematodes Clade V
Ancylostoma_ceylanicum,171212,66767534,Ancylostoma ceylanicum,-1,1,-1,1,-1,ancylostoma_ceylanicum.PRJNA231479.WBPS6.genomic.fa,313092710,138469974,43.4,1736,Nematodes Clade V
Anopheles_darlingi,7970,2000107,Anopheles darlingi,-1,1,-1,1,-1,Anopheles_darlingi.AdarC3.dna.toplevel.fa,136950925,10040096,48.3,2221,Arthropods
Anopheles_gambiae,84881,32430151,Anopheles gambiae,-1,1,-1,1,-1,Anopheles_gambiae.AgamP4.dna.toplevel.fa,273109044,57228804,44.27,8,Arthropods
Apis_mellifera,20224,5238030,Apis mellifera,1,1,1,1,1,Apis_mellifera.GCA_000002195.1.dna.toplevel.fa,250270657,27269446,32.7,5320,Arthropods
Atta_cephalotes,123405,41878573,Atta cephalotes,1,1,1,1,1,Atta_cephalotes.GCA_000143395.2.dna.toplevel.fa,317690795,90913801,32.57,2836,Arthropods
Belgica_antarctica,6432,1755294,Belgica antarctica,1,1,-1,1,1,Belgica_antarctica.GCA_000775305.1.dna.toplevel.fa,89583723,4075264,38.88,4997,Arthropods
Bombus_impatiens,55218,15772407,Bombus impatiens,1,1,1,1,1,Bombus_impatiens.GCA_000188095.2.dna.toplevel.fa,249185056,39413276,37.75,5559,Arthropods
Bombyx_mori,456537,119721708,Bombyx mori,1,1,-1,1,1,Bombyx_mori.GCA_000151625.1.dna.toplevel.fa,481803763,195868591,37.67,43462,Arthropods
Brugia_malayi,9581,4034020,Brugia malayi,-1,1,-1,-1,-1,brugia_malayi.PRJNA10729.WBPS6.genomic.fa,88235797,11949609,28.49,197,Nematodes Clade III
Bursaphelenchus_xylophilus,44686,11371276,Bursaphelenchus xylophilus,-1,-1,-1,-1,-1,bursaphelenchus_xylophilus.PRJEA64437.WBPS6.genomic.fa,74561461,19295958,40.37,5527,Nematodes Clade VI
Caenorhabditis_afra,19608,4937286,Caenorhabditis afra,-1,-1,-1,1,-1,Caenorhabditis_afra_JU1286_v1.scaffolds.fa,65617084,12141668,47.1,1898,Nematodes Clade V
Caenorhabditis_angaria,37577,8005505,Caenorhabditis angaria,-1,-1,-1,1,-1,caenorhabditis_angaria.PRJNA51225.WBPS6.genomic.fa,105997628,21035585,35.73,34621,Nematodes Clade V
Caenorhabditis_brenneri,69898,23533794,Caenorhabditis brenneri,-1,-1,-1,1,-1,caenorhabditis_brenneri.PRJNA20035.WBPS6.genomic.fa,190369721,42691697,38.63,3305,Nematodes Clade V
